post_id,count_likes_post,count_views_post,share_likes_views_post,tfidf_mean,tfidf_max,tfidf_std,long_text,coun_word,unique_count_word,topic_covid,topic_entertainment,topic_movie,topic_politics,topic_sport,topic_tech
1,42.0,398.0,0.10552763819095477,0.00020433931685907638,0.4394953176289567,0.004387169091610813,1967,324,197,False,False,False,False,False,False
2,25.0,291.0,0.0859106529209622,0.0002610860814811883,0.29094617149404595,0.0043841579867582876,2701,448,280,False,False,False,False,False,False
3,52.0,394.0,0.1319796954314721,0.00027471697876484575,0.27904530947339534,0.0043833249681466705,3408,546,329,False,False,False,False,False,False
4,36.0,344.0,0.10465116279069768,0.00015252046816986245,0.5253210216137564,0.004389276102227898,1026,173,113,False,False,False,False,False,False
5,46.0,413.0,0.11138014527845036,0.000148753436217018,0.409825756733996,0.00438940538228281,889,150,104,False,False,False,False,False,False
6,71.0,823.0,0.08626974483596597,0.0001599791627568188,0.405213015152371,0.004389010578966894,911,143,112,False,False,False,False,False,False
14,32.0,333.0,0.0960960960960961,0.00014595074009626536,0.5077038165711998,0.004389499467623278,859,142,101,False,False,False,False,False,False
2366,48.07159090909091,431.37045454545455,0.1051545328645479,7.819841189257358e-05,0.31753849977833626,0.004391229008281983,140,22,22,True,False,False,False,False,False
7,26.0,347.0,0.07492795389048991,0.0001968074568509033,0.31106701040677476,0.004387513421031047,1520,254,167,False,False,False,False,False,False
8,61.0,378.0,0.16137566137566137,0.00017267708607394134,0.4881022845785688,0.004388529345776864,1660,265,167,False,False,False,False,False,False
9,65.0,781.0,0.08322663252240717,0.00016634664889146066,0.5124911110239146,0.004388773859200569,2063,351,203,False,False,False,False,False,False
10,62.0,785.0,0.07898089171974522,0.00017878333166800644,0.5304783950611951,0.004388284826115708,2040,342,197,False,False,False,False,False,False
11,58.0,398.0,0.1457286432160804,0.00019489464366437593,0.5639098269830386,0.004387598804889825,1812,303,199,False,False,False,False,False,False
15,42.0,382.0,0.1099476439790576,0.0001982110608794354,0.38837593365158773,0.004387450235631711,2118,359,218,False,False,False,False,False,False
16,41.0,334.0,0.12275449101796407,0.00017018979041517822,0.4963909313483277,0.004388626508378005,1327,218,153,False,False,False,False,False,False
17,48.49561403508772,434.5285087719298,0.11446603795764047,0.00018341547792438939,0.49490430937318514,0.004388093658669725,1358,225,158,False,False,False,False,False,False
18,60.0,381.0,0.15748031496062992,0.000217876570027557,0.45475986095179305,0.004386517638746332,2158,352,225,False,False,False,False,False,False
