iter	Logloss
0	0.6440575536
1	0.6024757902
2	0.5680907366
3	0.5362050268
4	0.5100563348
5	0.4865103125
6	0.4666976964
7	0.4473579955
8	0.4318996696
9	0.4178870223
10	0.4061494509
11	0.395277375
12	0.3848960089
13	0.3762611161
14	0.3684234509
15	0.3613379241
16	0.3554074955
17	0.3504904777
18	0.3459118482
19	0.3415569911
20	0.3374597634
21	0.3340225179
22	0.3304007902
23	0.3278515804
24	0.3251957455
25	0.323158471
26	0.3214100491
27	0.3197423393
28	0.3175577746
29	0.3163292768
30	0.3145995112
31	0.3133686027
32	0.3121172924
33	0.3111157366
34	0.3100630848
35	0.3091207612
36	0.3085358594
37	0.3079894196
38	0.3071498906
39	0.3063252143
40	0.3058967813
41	0.3055519955
42	0.3047859621
43	0.3045020402
44	0.3040351272
45	0.3035180558
46	0.3032169241
47	0.3030344174
48	0.3028220246
49	0.3025822188
50	0.3023937723
51	0.3020680179
52	0.3019333214
53	0.3018051875
54	0.3016601094
55	0.301431683
56	0.3013201496
57	0.3012266384
58	0.3010105536
59	0.3009280759
60	0.3007058973
61	0.3006386719
62	0.3005600379
63	0.3004417946
64	0.3002077344
65	0.3001486317
66	0.3000517991
67	0.2998720915
68	0.2996863371
69	0.299647317
70	0.2994939085
71	0.2994636317
72	0.2992967098
73	0.2991978393
74	0.2991701473
75	0.2991370781
76	0.2990137857
77	0.2989857165
78	0.2989613795
79	0.2988839219
80	0.298805029
81	0.298685846
82	0.2985494174
83	0.2985095357
84	0.2983890714
85	0.2983105424
86	0.2982857009
87	0.2982615759
88	0.2982063013
89	0.298181654
90	0.2981399129
91	0.2980627098
92	0.2980371183
93	0.2980210156
94	0.2979354978
95	0.2979192879
96	0.2978490558
97	0.2978213259
98	0.2978001183
99	0.2977089196
100	0.2976531562
101	0.2976216562
102	0.2976060156
103	0.2975747812
104	0.2975295737
105	0.2975043996
106	0.2974647656
107	0.2974505558
108	0.2974157902
109	0.2973719777
110	0.297356096
111	0.2973127634
112	0.2972959777
113	0.2972451138
114	0.2972368237
115	0.297218096
116	0.2971868415
117	0.2971742232
118	0.2971530647
119	0.297141721
120	0.2971324062
121	0.2970933571
122	0.2970504487
123	0.2970225045
124	0.2969962478
125	0.2969678527
126	0.2969437679
127	0.2969352254
128	0.2969101451
129	0.2968719754
130	0.2968373795
131	0.2968300491
132	0.2968134531
133	0.2967849844
134	0.2967710246
135	0.2967637121
136	0.2967523571
137	0.2967309129
138	0.2966923839
139	0.2966816853
140	0.296666567
141	0.2966548683
142	0.2966337076
143	0.2966280937
144	0.2965995469
145	0.2965928058
146	0.296576317
147	0.2965411518
148	0.2965278527
149	0.2965203192
150	0.2965056317
151	0.2964895647
152	0.2964831808
153	0.2964727277
154	0.2964600268
155	0.2964503527
156	0.2964235223
157	0.2963994219
158	0.2963817254
159	0.2963757857
160	0.296368779
161	0.2963639621
162	0.2963527299
163	0.2963304576
164	0.2963051161
165	0.2962924263
166	0.2962682656
167	0.2962556585
168	0.2962469018
169	0.2962447835
170	0.2962369777
171	0.2962206183
172	0.2961991942
173	0.2961720313
174	0.2961660759
175	0.2961471585
176	0.2961299375
177	0.2961229397
178	0.2961123683
179	0.2960995871
180	0.2960903862
181	0.2960827701
182	0.2960650424
183	0.2960526562
184	0.2960467946
185	0.2960377031
186	0.2960324754
187	0.2960096964
188	0.2959980424
189	0.2959840982
190	0.295959154
191	0.2959464353
192	0.2959428571
193	0.2959338549
194	0.2959244375
195	0.2959198862
196	0.2959137813
197	0.2958996696
198	0.2958920357
199	0.2958861808
200	0.2958801339
201	0.2958766853
202	0.2958642879
203	0.2958620714
204	0.2958343482
205	0.2958307768
206	0.2958200067
207	0.2958160714
208	0.2958021451
209	0.2957990424
210	0.2957941763
211	0.2957887076
212	0.2957810647
213	0.2957728549
214	0.2957659174
215	0.2957629107
216	0.2957530112
217	0.2957482545
218	0.2957328482
219	0.2957258237
220	0.2957244397
221	0.2956989554
222	0.2956913214
223	0.2956650402
224	0.295655692
225	0.2956465647
226	0.2956366585
227	0.2956335201
228	0.2956255714
229	0.2956219263
230	0.2956166786
231	0.2956137299
232	0.2956103259
233	0.295605029
234	0.2955977455
235	0.2955945625
236	0.2955768571
237	0.2955728036
238	0.2955686317
239	0.2955634018
240	0.2955585558
241	0.2955497812
242	0.295543558
243	0.2955395826
244	0.295499
245	0.2954902344
246	0.2954837679
247	0.2954810804
248	0.2954759911
249	0.2954720937
250	0.2954679554
251	0.2954601138
252	0.295449683
253	0.2954424821
254	0.2954327701
255	0.2954254554
256	0.2954189353
257	0.295415375
258	0.2954124754
259	0.295407346
260	0.2954040982
261	0.2954006897
262	0.2953907455
263	0.2953864152
264	0.2953742612
265	0.2953723482
266	0.295365654
267	0.295358779
268	0.2953549576
269	0.2953509196
270	0.2953453036
271	0.2953389866
272	0.2953256696
273	0.2953204241
274	0.2953131317
275	0.2953075112
276	0.2953011607
277	0.295298808
278	0.2952882879
279	0.2952827879
280	0.2952790625
281	0.2952748103
282	0.2952705737
283	0.2952657813
284	0.2952628058
285	0.2952430737
286	0.2952294129
287	0.2952251853
288	0.2952218482
289	0.2952169375
290	0.2952138973
291	0.2952075179
292	0.2952013817
293	0.2951912924
294	0.295187221
295	0.2951754777
296	0.2951714621
297	0.2951612232
298	0.2951475067
299	0.2951317567
300	0.2951171094
301	0.2951140201
302	0.2951055179
303	0.2951018415
304	0.295099221
305	0.2950975067
306	0.2950950893
307	0.2950799687
308	0.2950764621
309	0.2950743705
310	0.295071317
311	0.2950684531
312	0.2950628996
313	0.2950594955
314	0.2950569152
315	0.2950481228
316	0.2950455737
317	0.2950426116
318	0.2950242589
319	0.2950207366
320	0.2950196004
321	0.2950175826
322	0.2950074933
323	0.2949961652
324	0.2949874665
325	0.294976346
326	0.2949686719
327	0.2949651987
328	0.2949556027
329	0.2949390491
330	0.294930933
331	0.294917846
332	0.2949111629
333	0.294899442
334	0.2948920446
335	0.2948863304
336	0.2948829442
337	0.2948774107
338	0.2948736942
339	0.2948707679
340	0.2948537902
341	0.2948496317
342	0.2948460402
343	0.2948408482
344	0.2948369821
345	0.2948305625
346	0.2948286205
347	0.2948095469
348	0.2948011317
349	0.2947949643
350	0.2947923683
351	0.2947769174
352	0.2947731942
353	0.294760625
354	0.2947510647
355	0.2947470402
356	0.294739125
357	0.294724933
358	0.2947194754
359	0.2947164063
360	0.294711317
361	0.2947051741
362	0.2946993728
363	0.2946952098
364	0.2946919018
365	0.2946892187
366	0.2946834844
367	0.2946790156
368	0.2946723772
369	0.2946662098
370	0.2946565647
371	0.2946491987
372	0.2946426116
373	0.2946391987
374	0.2946351362
375	0.2946333594
376	0.2946296183
377	0.2946250022
378	0.2946170848
379	0.2946140714
380	0.294611192
381	0.2946052411
382	0.2945998817
383	0.2945939263
384	0.2945888013
385	0.2945854018
386	0.2945808393
387	0.2945779643
388	0.294574567
389	0.2945701741
390	0.2945669107
391	0.2945588594
392	0.2945541875
393	0.2945462411
394	0.2945437567
395	0.2945377277
396	0.2945336518
397	0.294530567
398	0.2945234754
399	0.2945198192
400	0.2945088795
401	0.2944950737
402	0.2944890982
403	0.2944860402
404	0.2944827879
405	0.2944708348
406	0.2944665491
407	0.2944600201
408	0.2944477656
409	0.294442442
410	0.2944378393
411	0.2944343437
412	0.2944313705
413	0.2944279464
414	0.294425404
415	0.294421971
416	0.2944190982
417	0.2944145335
418	0.2944077924
419	0.2944046339
420	0.2944014308
421	0.2943991451
422	0.2943954799
423	0.2943936272
424	0.2943885893
425	0.2943827344
426	0.2943783304
427	0.294375
428	0.2943708304
429	0.2943679531
430	0.2943655379
431	0.2943570335
432	0.2943534888
433	0.2943500491
434	0.2943478304
435	0.2943423772
436	0.2943398326
437	0.2943382411
438	0.2943317835
439	0.2943269643
440	0.2943237612
441	0.2943200647
442	0.2943121228
443	0.2943063192
444	0.2943020179
445	0.2942984621
446	0.294295375
447	0.2942835357
448	0.2942807388
449	0.2942757701
450	0.2942718705
451	0.2942686339
452	0.2942610804
453	0.2942584598
454	0.2942548594
455	0.2942460871
456	0.2942417545
457	0.2942393013
458	0.2942293683
459	0.2942267143
460	0.2942233281
461	0.2942192612
462	0.2942139844
463	0.2942104464
464	0.2942079866
465	0.2942059687
466	0.2942012344
467	0.294197933
468	0.2941961205
469	0.2941890536
470	0.2941824687
471	0.2941782545
472	0.2941749799
473	0.2941637165
474	0.2941605379
475	0.2941511897
476	0.2941477835
477	0.2941448058
478	0.294138942
479	0.2941367634
480	0.2941343884
481	0.2941308214
482	0.2941280513
483	0.2941244978
484	0.2941214308
485	0.2941144241
486	0.2941079844
487	0.2941030312
488	0.2940991518
489	0.294095779
490	0.2940935893
491	0.2940887589
492	0.2940856339
493	0.2940840915
494	0.2940812634
495	0.2940768348
496	0.2940728839
497	0.2940689821
498	0.2940634219
499	0.2940597076
