iter	Passed	Remaining
0	717	358009
1	1358	338355
2	1995	330521
3	2624	325431
4	3274	324153
5	3847	316773
6	4430	312035
7	5044	310258
8	5636	307490
9	6192	303455
10	6732	299271
11	7300	296894
12	7883	295335
13	8420	292301
14	9008	291268
15	9619	290981
16	10194	289631
17	10751	287892
18	11231	284331
19	11767	282412
20	12341	281503
21	12943	281235
22	13490	279790
23	14074	279137
24	14663	278597
25	15216	277407
26	15788	276598
27	16333	275332
28	16924	274871
29	17493	274065
30	18130	274297
31	18644	272676
32	19240	272284
33	19796	271323
34	20370	270633
35	20942	269927
36	21526	269366
37	22116	268888
38	22766	269116
39	23372	268778
40	23954	268178
41	24535	267554
42	25151	267305
43	25719	266550
44	26309	266017
45	26934	265836
46	27469	264760
47	28047	264109
48	28631	263524
49	29192	262729
50	29748	261901
51	30376	261702
52	30935	260908
53	31456	259811
54	32098	259705
55	32666	258998
56	33188	257935
57	33797	257556
58	34405	257163
59	34971	256454
60	35537	255754
61	36076	254859
62	36658	254278
63	37168	253209
64	37783	252855
65	38395	252481
66	38942	251671
67	39520	251072
68	40166	250894
69	40737	250246
70	41334	249751
71	41904	249099
72	42510	248654
73	43122	248246
74	43647	247336
75	44198	246580
76	44782	246011
77	45352	245370
78	45889	244551
79	46444	243832
80	47142	243861
81	47831	243822
82	48457	243455
83	48999	242664
84	49555	241949
85	50251	241909
86	50929	241766
87	51625	241702
88	52283	241444
89	52867	240840
90	53492	240423
91	54089	239876
92	54634	239099
93	55210	238460
94	55844	238074
95	56379	237265
96	56949	236606
97	57579	236195
98	58138	235489
99	58704	234818
100	59312	234314
101	59855	233554
102	60364	232668
103	60889	231847
104	61503	231370
105	62003	230464
106	62630	230036
107	63195	229377
108	63713	228551
109	64332	228086
110	64837	227222
111	65417	226624
112	65905	225712
113	66509	225198
114	67033	224416
115	67547	223604
116	68099	222923
117	68650	222242
118	69195	221543
119	69722	220787
120	70295	220182
121	70853	219529
122	71479	219086
123	72027	218406
124	72623	217869
125	73298	217568
126	73810	216781
127	74342	216057
128	74932	215504
129	75488	214850
130	76052	214225
131	76588	213518
132	77101	212753
133	77668	212138
134	78218	211478
135	78769	210823
136	79330	210197
137	79925	209660
138	80565	209239
139	81133	208628
140	81671	207944
141	82167	207153
142	82739	206558
143	83280	205889
144	83849	205286
145	84417	204683
146	84948	203991
147	85526	203414
148	86038	202681
149	86591	202046
150	87139	201402
151	87687	200758
152	88255	200160
153	88784	199477
154	89323	198817
155	89815	198053
156	90375	197443
157	90959	196886
158	91476	196186
159	91983	195465
160	92517	194803
161	93075	194193
162	93595	193506
163	94171	192936
164	94787	192447
165	95324	191797
166	95905	191236
167	96450	190605
168	96984	189952
169	97524	189312
170	97994	188539
171	98534	187902
172	99185	187478
173	99803	186988
174	100356	186375
175	100960	185858
176	101523	185266
177	102062	184629
178	102647	184078
179	103289	183626
180	103805	182950
181	104374	182368
182	105019	181919
183	105574	181313
184	106113	180679
185	106634	180017
186	107311	179618
187	107955	179160
188	108596	178695
189	109166	178113
190	109789	177618
191	110366	177046
192	110917	176433
193	111500	175871
194	112007	175191
195	112554	174574
196	113082	173928
197	113662	173363
198	114264	172831
199	114812	172218
200	115368	171618
201	115910	170996
202	116435	170351
203	116952	169695
204	117572	169190
205	118092	168540
206	118587	167855
207	119093	167188
208	119666	166616
209	120174	165955
210	120701	165320
211	121258	164729
212	121764	164068
213	122324	163480
214	122866	162869
215	123474	162346
216	124069	161805
217	124570	161141
218	125170	160606
219	125678	159954
220	126200	159321
221	126813	158802
222	127391	158239
223	128013	157730
224	128637	157223
225	129192	156631
226	129802	156106
227	130368	155527
228	130921	154933
229	131414	154268
230	131974	153684
231	132497	153057
232	133001	152408
233	133539	151801
234	134045	151158
235	134590	150559
236	135138	149964
237	135682	149364
238	136264	148807
239	136783	148181
240	137340	147597
241	137840	146953
242	138392	146365
243	138918	145750
244	139522	145217
245	140031	144585
246	140589	144004
247	141096	143372
248	141618	142755
249	142128	142128
250	142613	141477
251	143207	140934
252	143771	140362
253	144351	139804
254	144832	139152
255	145378	138563
256	145949	137999
257	146478	137394
258	147003	136787
259	147551	136201
260	148105	135621
261	148621	135006
262	149151	134406
263	149717	133838
264	150308	133292
265	150850	132703
266	151430	132146
267	152014	131594
268	152508	130964
269	153057	130382
270	153620	129812
271	154159	129222
272	154717	128647
273	155294	128089
274	155816	127486
275	156357	126898
276	157012	126403
277	157520	125789
278	158111	125242
279	158702	124694
280	159229	124097
281	159788	123524
282	160305	122919
283	160862	122345
284	161363	121730
285	161932	121166
286	162449	120563
287	163030	120008
288	163560	119416
289	164079	118816
290	164616	118229
291	165138	117633
292	165730	117085
293	166266	116499
294	166895	115978
295	167525	115456
296	168202	114966
297	168752	114389
298	169378	113862
299	169947	113298
300	170530	112742
301	171041	112139
302	171609	111574
